INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	INCHIKEY	IUPAC_NAME	SMILES	QSAR_READY_SMILES
acebutolol	Approved Name	DTXSID2048539	Acebutolol	37517-30-9	GOEMGAFJFRBGGG-UHFFFAOYSA-N	N-(3-Acetyl-4-{2-hydroxy-3-[(propan-2-yl)amino]propoxy}phenyl)butanamide	CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1	CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1
aciclovir	Synonym from Valid Source	DTXSID1022556	Acyclovir	59277-89-3	MKUXAQIIEYXACX-UHFFFAOYSA-N	2-Amino-9-[(2-hydroxyethoxy)methyl]-1,9-dihydro-6H-purin-6-one	NC1=NC2=C(N=CN2COCCO)C(=O)N1	NC1=NC2=C(N=CN2COCCO)C(=O)N1
amikacin	Approved Name	DTXSID3022586	Amikacin	37517-28-5	LKCWBDHBTVXHDL-RMDFUYIESA-N	(2S)-4-Amino-N-{(1R,2S,3S,4R,5S)-5-amino-2-[(3-amino-3-deoxy-alpha-D-glucopyranosyl)oxy]-4-[(6-amino-6-deoxy-alpha-D-glucopyranosyl)oxy]-3-hydroxycyclohexyl}-2-hydroxybutanamide	NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O	NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O
amiloride	Approved Name	DTXSID9043853	Amiloride	2609-46-3	XSDQTOBWRPYKKA-UHFFFAOYSA-N	3,5-Diamino-N-carbamimidoyl-6-chloropyrazine-2-carboxamide	NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N	NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N
aminocaproic acid	Synonym from Valid Source	DTXSID0020070	6-Aminocaproic acid	60-32-2	SLXKOJJOQWFEFD-UHFFFAOYSA-N	6-Aminohexanoic acid	NCCCCCC(O)=O	NCCCCCC(O)=O
aminophylline	Synonym	DTXSID5021336	Theophylline	58-55-9	ZFXYFBGIUFBOJW-UHFFFAOYSA-N	1,3-Dimethyl-3,7-dihydro-1H-purine-2,6-dione	CN1C2=C(NC=N2)C(=O)N(C)C1=O	CN1C2=C(NC=N2)C(=O)N(C)C1=O
amiodarone	Approved Name	DTXSID7022592	Amiodarone	1951-25-3	IYIKLHRQXLHMJQ-UHFFFAOYSA-N	(2-Butyl-1-benzofuran-3-yl){4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl}methanone	CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1	CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
amitriptyline	Approved Name	DTXSID7022594	Amitriptyline	50-48-6	KRMDCWKBEZIMAB-UHFFFAOYSA-N	3-(10,11-Dihydro-5H-dibenzo[a,d][7]annulen-5-ylidene)-N,N-dimethylpropan-1-amine	CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2	CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2
amoxicillin	Approved Name	DTXSID3037044	Amoxicillin	26787-78-0	LSQZJLSUYDQPKJ-NJBDSQKTSA-N	(2S,5R,6R)-6-{[(2R)-2-Amino-2-(4-hydroxyphenyl)acetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O	CC1(C)SC2C(NC(=O)C(N)C3=CC=C(O)C=C3)C(=O)N2C1C(O)=O
amphotericin B	Approved Name	DTXSID9022601	Amphotericin B	1397-89-3	APKFDSVGJQXUKY-INPOYWNPSA-N	(1R,3S,5R,6R,9R,11R,15S,16R,17R,18S,19E,21E,23E,25E,27E,29E,31E,33R,35S,36R,37S)-33-[(3-Amino-3,6-dideoxy-beta-D-mannopyranosyl)oxy]-1,3,5,6,9,11,17,37-octahydroxy-15,16,18-trimethyl-13-oxo-14,39-dioxabicyclo[33.3.1]nonatriaconta-19,21,23,25,27,29,31-heptaene-36-carboxylic acid	C[C@H]1O[C@@H](O[C@@H]2C[C@@H]3O[C@@](O)(C[C@H](O)[C@H]3C(O)=O)C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@@H](C)[C@H](C)[C@H](O)[C@@H](C)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\2)[C@@H](O)[C@@H](N)[C@@H]1O	[H]C12CC(OC3OC(C)C(O)C(N)C3O)\C=C/C=C\C=C/C=C\C=C/C=C\C=C/C(C)C(O)C(C)C(C)OC(=O)CC(O)CC(O)CCC(O)C(O)CC(O)CC(O)(CC(O)C1C(O)=O)O2
